iter	Passed	Remaining
830	28554	5807
831	28593	5773
832	28630	5739
833	28668	5706
834	28698	5670
835	28731	5636
836	28764	5601
837	28799	5567
838	28833	5533
839	28867	5498
840	28899	5463
841	28931	5428
842	28963	5394
843	28997	5359
844	29031	5325
845	29064	5290
846	29097	5256
847	29130	5221
848	29163	5186
849	29197	5152
850	29229	5117
851	29262	5083
852	29296	5048
853	29330	5014
854	29363	4979
855	29400	4945
856	29433	4911
857	29467	4876
858	29502	4842
859	29537	4808
860	29573	4774
861	29609	4740
862	29645	4706
863	29680	4671
864	29713	4637
865	29746	4602
866	29779	4568
867	29814	4533
868	29848	4499
869	29882	4465
870	29915	4430
871	29949	4396
872	29983	4361
873	30018	4327
874	30052	4293
875	30087	4258
876	30121	4224
877	30156	4190
878	30190	4155
879	30224	4121
880	30261	4087
881	30297	4053
882	30332	4019
883	30368	3984
884	30400	3950
885	30437	3916
886	30471	3881
887	30504	3847
888	30537	3812
889	30573	3778
890	30607	3744
891	30642	3710
892	30676	3675
893	30710	3641
894	30744	3606
895	30778	3572
896	30812	3538
897	30847	3503
898	30880	3469
899	30914	3434
900	30948	3400
901	30982	3366
902	31016	3331
903	31051	3297
904	31085	3263
905	31118	3228
906	31151	3194
907	31186	3159
908	31221	3125
909	31254	3091
910	31288	3056
911	31322	3022
912	31355	2987
913	31390	2953
914	31423	2919
915	31458	2884
916	31491	2850
917	31524	2815
918	31558	2781
919	31592	2747
920	31627	2712
921	31670	2679
922	31706	2645
923	31740	2610
924	31774	2576
925	31808	2541
926	31842	2507
927	31877	2473
928	31911	2438
929	31945	2404
930	31978	2370
931	32012	2335
932	32048	2301
933	32082	2267
934	32116	2232
935	32149	2198
936	32184	2163
937	32218	2129
938	32252	2095
939	32286	2060
940	32320	2026
941	32352	1991
942	32388	1957
943	32421	1923
944	32457	1889
945	32491	1854
946	32527	1820
947	32561	1786
948	32596	1751
949	32627	1717
950	32664	1683
951	32701	1648
952	32738	1614
953	32776	1580
954	32816	1546
955	32850	1511
956	32885	1477
957	32917	1443
958	32952	1408
959	32989	1374
960	33023	1340
961	33057	1305
962	33091	1271
963	33124	1237
964	33157	1202
965	33191	1168
966	33224	1133
967	33257	1099
968	33290	1065
969	33323	1030
970	33357	996
971	33391	961
972	33425	927
973	33461	893
974	33496	858
975	33532	824
976	33569	790
977	33604	755
978	33639	721
979	33673	687
980	33706	652
981	33740	618
982	33774	584
983	33808	549
984	33844	515
985	33881	481
986	33921	446
987	33956	412
988	33990	378
989	34024	343
990	34058	309
991	34093	274
992	34127	240
993	34162	206
994	34196	171
995	34231	137
996	34267	103
997	34302	68
998	34337	34
999	34373	0
